model,segment,accuracy,mae,rows
naive_last,full,74.40273503725219,96.4603825136612,8052
naive_last,pre_drift_d0_d2,74.56620327576393,96.4755291005291,3024
naive_last,transition_d3_d4,74.26133673639622,88.48686594202898,2208
naive_last,post_drift_d5_d6,74.102344139528,103.6511544011544,2772
naive_last,horizon_1,82.5799527534682,64.77380952380952,2016
naive_last,horizon_2,77.47936998968594,85.26388888888889,2016
naive_last,horizon_3,71.92948220539726,105.86904761904762,2016
naive_last,horizon_4,65.623255959173,130.13522954091817,2004
naive_day,full,75.86208717953656,88.87195727769499,8052
naive_day,pre_drift_d0_d2,83.85820043879757,60.580357142857146,3024
naive_day,transition_d3_d4,65.78874521814758,102.0439311594203,2208
naive_day,post_drift_d5_d6,71.47536090853167,109.89971139971139,2772
naive_day,horizon_1,75.99564718304865,87.8422619047619,2016
naive_day,horizon_2,75.28436673637871,91.5391865079365,2016
naive_day,horizon_3,76.32962288744967,86.30357142857143,2016
naive_day,horizon_4,75.85258795507933,89.80838323353294,2004
naive_week,full,78.76893448168566,85.54110779930453,8052
naive_week,pre_drift_d0_d2,83.90942202451939,60.01058201058201,3024
naive_week,transition_d3_d4,80.2670321982748,70.51086956521739,2208
naive_week,post_drift_d5_d6,70.78260522846513,125.93578643578644,2772
naive_week,horizon_1,78.84305135043495,84.78869047619048,2016
naive_week,horizon_2,79.18194528938476,85.37103174603175,2016
naive_week,horizon_3,78.80323911895108,84.1671626984127,2016
naive_week,horizon_4,78.24273447781528,87.85129740518963,2004
ridge_static,full,75.18069827065513,95.53500508696456,8052
ridge_static,pre_drift_d0_d2,78.66848184699064,79.5593137952975,3024
ridge_static,transition_d3_d4,76.90648184205806,78.60485345123044,2208
ridge_static,post_drift_d5_d6,67.98134838280488,127.26717244042419,2772
ridge_static,horizon_1,75.89451423663522,92.86903211676328,2016
ridge_static,horizon_2,76.80496348137568,90.34292115088154,2016
ridge_static,horizon_3,75.39840756861642,94.51780364765092,2016
ridge_static,horizon_4,72.62616516303729,104.46340869211701,2004
boosting_static,full,82.58057622377939,70.08765570540976,8052
boosting_static,pre_drift_d0_d2,86.19681586225018,51.061327194518775,3024
boosting_static,transition_d3_d4,83.49703514355801,59.08275286952783,2208
boosting_static,post_drift_d5_d6,75.70590738116846,100.05988959084324,2772
boosting_static,horizon_1,82.82027282577157,68.47693871638006,2016
boosting_static,horizon_2,83.23216715202436,68.6594661390751,2016
boosting_static,horizon_3,82.71272820373999,69.34102648498258,2016
boosting_static,horizon_4,81.5619573106646,73.89585936009823,2004
boosting_adaptive_daily,full,83.01841321750274,67.32877361059924,8052
boosting_adaptive_daily,pre_drift_d0_d2,86.04478348309063,51.724127769450945,3024
boosting_adaptive_daily,transition_d3_d4,83.38273906935997,58.795186561219566,2208
boosting_adaptive_daily,post_drift_d5_d6,77.90129512595355,91.54486128947299,2772
boosting_adaptive_daily,horizon_1,83.55200069099094,64.69618263344123,2016
boosting_adaptive_daily,horizon_2,83.41698510254265,66.6902383955143,2016
boosting_adaptive_daily,horizon_3,83.1772952870814,66.6505214294768,2016
boosting_adaptive_daily,horizon_4,81.93638773864954,71.30180095626025,2004
