seed,model,segment,accuracy,mae,rows
20260916,naive_day,full,75.86208717953656,88.87195727769499,8052
20260916,naive_day,pre_drift_d0_d2,83.85820043879757,60.580357142857146,3024
20260916,naive_day,transition_d3_d4,65.78874521814758,102.0439311594203,2208
20260916,naive_day,post_drift_d5_d6,71.47536090853167,109.89971139971139,2772
20260916,naive_week,full,78.76893448168566,85.54110779930453,8052
20260916,naive_week,pre_drift_d0_d2,83.90942202451939,60.01058201058201,3024
20260916,naive_week,transition_d3_d4,80.2670321982748,70.51086956521739,2208
20260916,naive_week,post_drift_d5_d6,70.78260522846513,125.93578643578644,2772
20260916,ridge_static,full,75.18069827065513,95.53500508696456,8052
20260916,ridge_static,pre_drift_d0_d2,78.66848184699064,79.5593137952975,3024
20260916,ridge_static,transition_d3_d4,76.90648184205806,78.60485345123044,2208
20260916,ridge_static,post_drift_d5_d6,67.98134838280488,127.26717244042419,2772
20260916,boosting_static,full,82.58057622377939,70.08765570540976,8052
20260916,boosting_static,pre_drift_d0_d2,86.19681586225018,51.061327194518775,3024
20260916,boosting_static,transition_d3_d4,83.49703514355801,59.08275286952783,2208
20260916,boosting_static,post_drift_d5_d6,75.70590738116846,100.05988959084324,2772
20260916,boosting_adaptive_daily,full,83.01841321750274,67.32877361059924,8052
20260916,boosting_adaptive_daily,pre_drift_d0_d2,86.04478348309063,51.724127769450945,3024
20260916,boosting_adaptive_daily,transition_d3_d4,83.38273906935997,58.795186561219566,2208
20260916,boosting_adaptive_daily,post_drift_d5_d6,77.90129512595355,91.54486128947299,2772
20260917,naive_day,full,76.25173370298118,88.48236462990562,8052
20260917,naive_day,pre_drift_d0_d2,83.73561012987732,61.33366402116402,3024
20260917,naive_day,transition_d3_d4,66.38695847858396,100.64673913043478,2208
20260917,naive_day,post_drift_d5_d6,72.54997693834133,109.22907647907648,2772
20260917,naive_week,full,78.34789581542145,87.66716343765525,8052
20260917,naive_week,pre_drift_d0_d2,84.0399640329298,60.43948412698413,3024
20260917,naive_week,transition_d3_d4,79.6417828379537,71.17391304347827,2208
20260917,naive_week,post_drift_d5_d6,70.33864921010414,131.30627705627705,2772
20260917,ridge_static,full,75.44645111622471,95.17691081812423,8052
20260917,ridge_static,pre_drift_d0_d2,78.4234209297481,79.51052104951873,3024
20260917,ridge_static,transition_d3_d4,77.43188429173539,76.38944990707377,2208
20260917,ridge_static,post_drift_d5_d6,68.7556579315078,128.00095998509093,2772
20260917,boosting_static,full,82.73774899048429,70.1522363888724,8052
20260917,boosting_static,pre_drift_d0_d2,86.09652731252662,51.72683038472062,3024
20260917,boosting_static,transition_d3_d4,83.95961371503314,57.1621132230568,2208
20260917,boosting_static,post_drift_d5_d6,76.07896895193859,101.03803985240694,2772
20260917,boosting_adaptive_daily,full,83.4154961473522,66.24816108495682,8052
20260917,boosting_adaptive_daily,pre_drift_d0_d2,86.07335225212724,51.72030083156055,3024
20260917,boosting_adaptive_daily,transition_d3_d4,83.86078467942654,57.32270543522189,2208
20260917,boosting_adaptive_daily,post_drift_d5_d6,78.60062100190699,89.66949941107868,2772
20260918,naive_day,full,76.17228856843552,89.27409339294586,8052
20260918,naive_day,pre_drift_d0_d2,83.46247321041113,61.620039682539684,3024
20260918,naive_day,transition_d3_d4,69.31358841289459,97.83695652173913,2208
20260918,naive_day,post_drift_d5_d6,71.4356233564355,113.33369408369408,2772
20260918,naive_week,full,78.15830994520057,89.54706905116741,8052
20260918,naive_week,pre_drift_d0_d2,83.43497747845925,61.448743386243386,3024
20260918,naive_week,transition_d3_d4,80.24475909828242,74.35144927536231,2208
20260918,naive_week,post_drift_d5_d6,69.62199618771199,132.92099567099567,2772
20260918,ridge_static,full,75.51606884625265,95.17741454634057,8052
20260918,ridge_static,pre_drift_d0_d2,78.30477803936377,78.51968498425505,3024
20260918,ridge_static,transition_d3_d4,78.13248565029254,78.99470110505825,2208
20260918,ridge_static,post_drift_d5_d6,68.39659287547828,126.80524650042454,2772
20260918,boosting_static,full,82.26483769826868,72.2675385422028,8052
20260918,boosting_static,pre_drift_d0_d2,85.91592764865993,51.527768767097434,3024
20260918,boosting_static,transition_d3_d4,83.47805011646724,62.094905264924634,2208
20260918,boosting_static,post_drift_d5_d6,75.82678165024453,103.5743783803082,2772
20260918,boosting_adaptive_daily,full,82.65232293103796,69.02892947291177,8052
20260918,boosting_adaptive_daily,pre_drift_d0_d2,85.67416959168459,52.53575720646986,3024
20260918,boosting_adaptive_daily,transition_d3_d4,83.58541090225675,61.0965212535848,2208
20260918,boosting_adaptive_daily,post_drift_d5_d6,77.64886014139476,93.85353675284293,2772
